PKT — Website Page Inventory & Sitemap,,,,,,,,,
"Derived from the PKT Website Content Handoff draft (Phase 1 corporate site). Serves two audiences: freight buyers (shippers/brokers) and drivers (company drivers/owner-operators). Page Goal, Dev Priority and Why This Priority are RECOMMENDATIONS based on the draft's content and CTAs — not stated PKT facts — and should be confirmed before build.",,,,,,,,,
,,,,,,,,,
#,Section,Page,Expected URL,Page Goal,Page Title (SEO),What's on the Page,Phase,Dev Priority,Why This Priority
1,Core / Shared,Home,/,Route the two audiences (freight buyers vs. drivers) to their own path within one click; establish credibility for both.,PKT | Asset-Based Truckload Carrier in Illinois,"Hero with dual entry paths (freight / drive); proof strip (operating since 2018, 48-state authority); capacity, equipment, coverage, communication and safety sections; primary CTA Request a Quote, secondary Drive With PKT.",Phase 1,P0,Launch-critical — only shared page; both funnels depend on it.
2,Freight Services,Freight Services — Hub,/services,Give freight buyers a hub that frames PKT's asset-based capacity and routes them to the right equipment page.,Asset-Based Truckload Carrier | PKT,Asset-based value proposition; how freight moves (book/pickup/transit/delivery); what's needed to quote; coverage and regular lanes; links to every equipment page.,Phase 1,P0,Top of freight funnel; routes to every equipment/service page.
3,Freight Services,Dry Van,/services/dry-van,Convert dry van freight demand into a quote request.,Dry Van Truckload Carrier | PKT,"53' dry van capacity, equipment specs (pending), commodity categories hauled, cross-sell notes to reefer/flatbed; quote CTA.",Phase 1,P0,Core revenue equipment line.
4,Freight Services,Refrigerated,/services/reefer,Convert temperature-controlled freight demand into a quote request.,Refrigerated Truckload Carrier | PKT Reefer Service,"Reefer capabilities, equipment specs (pending), load-protection process, commodity categories, booking requirements; quote CTA.",Phase 1,P0,"Core revenue equipment line; higher-stakes freight, less margin for error."
5,Freight Services,Flatbed,/services/flatbed,Convert flatbed/open-deck freight demand into a quote request.,Flatbed Carrier and Open Deck Freight | PKT,"Flatbed capacity, equipment/securement specs (pending), commodity categories, dimensions/permit guidance, RGN exclusion note; quote CTA.",Phase 1,P0,Core revenue equipment line.
6,Freight Services,Step Deck,/services/step-deck,Convert freight too tall for a flatbed into a quote request; help buyers choose flatbed vs. step deck.,Step Deck Carrier | PKT,"Step deck capacity, equipment specs (pending), loading methods, commodity categories, flatbed-vs-step-deck guidance; quote CTA.",Phase 1,P1,Differentiator alongside flatbed; narrower demand than core equipment lines.
7,Freight Services,Dedicated,/services/dedicated,"Convert consistent, recurring-volume shippers into a dedicated-capacity conversation.",Dedicated Truck Capacity | PKT,"What you get, who it suits, 4-step how-it-works, information needed to scope a program; CTA Talk to Our Team.",Phase 1,P1,"High-value recurring offer, but a consideration-stage page rather than top-of-funnel."
8,Freight Services,Drop Trailer,/services/drop-trailer,Convert shippers with slow or unpredictable loading windows into a drop-trailer-program conversation.,Drop Trailer Programs | PKT,"What you get, who it suits, 4-step how-it-works, information needed to scope a program; CTA Talk to Our Team.",Phase 1,P2,Valuable niche program; lower search volume and funnel position than core equipment pages.
9,Driver Careers,Driver Careers — Hub,/careers,Give CDL-A drivers and owner-operators a landing page that routes them to the path that fits them.,Drive for PKT | CDL-A Jobs and Owner-Operator Opportunities,Two paths (company driver / owner-operator) with pay and home-time framing; CTAs to CDL-A Jobs and Lease On.,Phase 1,P0,Top of driver funnel — objective: driver and owner-operator applications.
10,Driver Careers,Company Drivers,/careers/company-drivers,Convert CDL-A company-driver prospects into open-positions views/applicants.,CDL-A Company Driver Jobs | PKT,"What PKT provides (truck, trailer, fuel, maintenance, insurance); why drivers stay (dispatch familiarity, available miles, home time, equipment); CTA See Open Positions.",Phase 1,P1,Supports company-driver conversion; sits one step under the driver hub.
11,Driver Careers,Owner-Operators,/careers/owner-operators,Convert owner-operator prospects into lease-on inquiries.,Owner-Operator Lease Opportunities | PKT,"Value proposition (own authority/customer base, steady freight, consistent dispatcher); CTA Lease On.",Phase 1,P1,Supports owner-operator conversion; sits one step under the driver hub.
12,Driver Careers,Driver Jobs (listing),/careers/jobs,Let drivers find a matching open role by state and type; anchor for job-page SEO.,Open Driver Positions | PKT,Filterable list of current CDL-A company-driver and owner-operator openings; each posting requires JobPosting structured data with an enforced expiry date.,Phase 1,P0,Required careers hub; feeds indexable job postings into Google for Jobs.
13,Driver Careers,Apply (Quick Apply),/careers/apply,"Capture a driver application with minimal friction — no resume, no account.",Quick Apply | PKT,"Four-field quick-apply form (name, phone, state, experience, driver type); confirmation message with callback window.",Phase 1,P0,Primary driver conversion point.
14,Company,Safety,/safety,Reassure freight buyers on carrier risk and signal quality/compliance to prospective drivers.,Safety and Compliance | PKT,"Equipment maintenance, driver qualification, hours/fatigue management, cargo securement, compliance/authority details; quote CTA.",Phase 1,P1,Directly answers buyers' #1 evaluation criterion (carrier risk) and reassures driver applicants.
15,Company,Company (About / Values / Leadership),/company,"Build trust with both audiences by establishing PKT's story, values and (once available) leadership.",About PKT | Asset-Based Truckload Carrier,"Company story and founding, mission/values statement, leadership section (held pending real names/photos); quote CTA.",Phase 1,P1,Credibility hub referenced by both funnels.
16,Company,Contact,/contact,"Provide a single, clear way to reach quotes, operations, recruiting and vendors without cross-routing.","Contact PKT | Quotes, Operations and Recruiting","Separate contact routes by audience (freight/quotes, existing customers/ops, driver recruiting, vendors); address, USDOT/MC.",Phase 1,P1,Required utility page; conversion backstop for both funnels.
17,Content Programme,Insights / Articles Hub,/insights/,Anchor the editorial section that builds durable organic visibility over time.,Freight & Trucking Insights | PKT Logistics,Editorial hub listing articles by topic/audience; publishing workflow for non-technical staff; internal links to services and lanes.,Phase 4,P3,Ongoing content programme; grows organic reach (objective #3).
18,Content Programme,Lane Landing Page (template example),/lanes/chicago-to-dallas/,Rank for high-intent lane searches and funnel to a quote — one of many produced from a template.,Chicago to Dallas Freight | Truckload Capacity | PKT Logistics,"Lane-specific content (transit, equipment, typical rate context), quote CTA, rate-estimator link; produced at scale from a template in Phase 4.",Phase 4,P3,Representative of a set of lane pages produced ongoing; SEO growth.
19,Legal / Utility,Privacy Policy,/privacy/,"Meet legal/consent obligations for lead capture, analytics and messaging.",Privacy Policy | PKT Logistics,"Data collection/use, consent for messaging (text/timestamp/source stored), analytics/cookies, contact for data requests. No SSN/DOB/licence/background data collected on site.",Phase 1,P1,Required for launch and consent compliance.
20,Legal / Utility,Terms of Use,/terms/,Set site terms and disclaimers (incl. non-binding rate estimates).,Terms of Use | PKT Logistics,"Site terms, acceptable use, non-binding-estimate disclaimer, liability, governing law.",Phase 1,P2,Required utility page.
21,Legal / Utility,Accessibility Statement,/accessibility/,Publish the WCAG 2.1 AA commitment required by the RFP.,Accessibility Statement | PKT Logistics,"WCAG 2.1 AA conformance statement, contact for accessibility issues, audit reference.",Phase 1,P1,Explicitly required deliverable in the RFP.
22,Legal / Utility,404 / Not Found,/404/,Recover lost visitors and preserve crawl health after the redirect migration.,Page Not Found | PKT Logistics,"Friendly not-found page with search and links to services, drivers and homepage.",Phase 1,P2,Required for redirect/migration hygiene.
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,/safety,,,,,,
,,,/safety,,,,,,
